https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume BTC
1689984000000,2023-07-22 00:00:00,BTC/UST,29903,29991,29630,29779,2221441.4661453897,74.59758441
1689897600000,2023-07-21 00:00:00,BTC/UST,29803,30049,29737,29898,11754772.7792913,393.16251185
1689811200000,2023-07-20 00:00:00,BTC/UST,29910,30421,29561,29797,9625768.27267368,323.04487944
1689724800000,2023-07-19 00:00:00,BTC/UST,29856,30180,29773,29918,3513878.0095804,117.4502978
1689638400000,2023-07-18 00:00:00,BTC/UST,30141,30224,29515,29854,2570807.33641446,86.11265949
1689552000000,2023-07-17 00:00:00,BTC/UST,30231,30319,29668,30137,6985686.96484506,231.79768938
1689465600000,2023-07-16 00:00:00,BTC/UST,30289,30442,30062,30225,3141429.928455,103.9348198
1689379200000,2023-07-15 00:00:00,BTC/UST,30307,30382,30246,30279,7815086.24335107,258.10252133
1689292800000,2023-07-14 00:00:00,BTC/UST,31457,31631,29913,30303,17395991.573688,574.068296
1689206400000,2023-07-13 00:00:00,BTC/UST,30382,31799,30264,31466,26751178.60579214,850.16139979
1689120000000,2023-07-12 00:00:00,BTC/UST,30618,30961,30218,30392,17143985.9653368,564.0953529
1689033600000,2023-07-11 00:00:00,BTC/UST,30407,30796,30313,30619,19949705.73517987,651.54661273
1688947200000,2023-07-10 00:00:00,BTC/UST,30162,31036,29964,30414,16784799.1189026,551.8773959
1688860800000,2023-07-09 00:00:00,BTC/UST,30285,30436,30073,30165,3191387.54961225,105.79769765
1688774400000,2023-07-08 00:00:00,BTC/UST,30340,30375,30050,30282,2639031.2255458203,87.14851151
1688688000000,2023-07-07 00:00:00,BTC/UST,29899,30441,29720,30335,7566060.93376335,249.41687601
