https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume EUR
1655956800000,2022-06-23 04:00:00,BTC/EUR,19165.52,20237.19,19110.39,20043.56,16.42319112,329179.2166051872
1655895600000,2022-06-22 11:00:00,BTC/EUR,19423.59,19755.14,18735.63,19748.34,10.87835859,214829.52407724058
1655870400000,2022-06-22 04:00:00,BTC/EUR,19007.72,19467.84,18735.63,19165.52,4.94892879,94848.7937033208
1655809200000,2022-06-21 11:00:00,BTC/EUR,20128.52,20526.35,19007.72,19423.59,16.79995178,326315.3753944902
1655784000000,2022-06-21 04:00:00,BTC/EUR,19566.13,19912.86,19007.72,19007.72,0.0054291,103.19481265200001
1655722800000,2022-06-20 11:00:00,BTC/EUR,19844.64,20237.36,18896.61,20128.52,11.43144714,230098.1123864328
1655697600000,2022-06-20 04:00:00,BTC/EUR,19118.92,19932.73,18817.48,19566.13,17.65918193,345521.8493360309
1655636400000,2022-06-19 11:00:00,BTC/EUR,19040.19,19856.03,18271.44,19844.64,13.29889771,263911.8374517744
1655611200000,2022-06-19 04:00:00,BTC/EUR,17415.91,19784.72,17151.19,19118.92,8.32997861,159260.19464630118
1655550000000,2022-06-18 11:00:00,BTC/EUR,18500.67,19040.19,16791.6,19040.19,29.30405363,557954.7488853897
1655524800000,2022-06-18 04:00:00,BTC/EUR,19472.03,19800.0,16791.6,17415.91,45.63017029,794690.9390553139
1655463600000,2022-06-17 11:00:00,BTC/EUR,20050.48,20179.35,17908.96,18500.67,25.5742025,473139.88096567494
1655438400000,2022-06-17 04:00:00,BTC/EUR,19388.95,20278.87,19338.9,19472.03,9.40145663,183065.4455430589
1655377200000,2022-06-16 11:00:00,BTC/EUR,20433.99,20978.91,19171.45,20050.48,16.11791983,323172.02919301845
1655352000000,2022-06-16 04:00:00,BTC/EUR,21288.0,21370.22,19171.45,19388.95,18.37437075,356259.75575321255
1655290800000,2022-06-15 11:00:00,BTC/EUR,19657.22,21904.14,19441.25,20433.99,14.92198557,304915.7039175243
1655265600000,2022-06-15 04:00:00,BTC/EUR,20657.9,21904.14,19613.94,21288.0,3.50727593,74662.88999784
1655204400000,2022-06-14 11:00:00,BTC/EUR,21400.0,21975.24,19144.45,19657.22,45.02700503,885105.7438158166
1655179200000,2022-06-14 04:00:00,BTC/EUR,21194.78,22316.28,20000.0,20657.9,50.58977491,1045078.5111132892
