https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1656216000000,2022-06-26 04:00:00,BTCG/USD,21456.92,21945.71,20970.45,21176.69,9.89610529,209566.75393369008
1656158400000,2022-06-25 12:00:00,BTCG/USD,21320.63,21600.0,20999.43,21600.0,3.91238556,84507.52809600001
1656129600000,2022-06-25 04:00:00,BTCG/USD,21215.57,21597.33,20999.43,21456.92,5.05477118,108459.82082756559
1656072000000,2022-06-24 12:00:00,BTCG/USD,21158.09,21520.28,20826.92,21320.63,13.4053925,285811.41349727503
1656043200000,2022-06-24 04:00:00,BTCG/USD,21265.04,21520.28,20814.93,21215.57,14.66797768,311189.50722847757
1655985600000,2022-06-23 12:00:00,BTCG/USD,20692.65,21267.12,20279.62,21158.09,25.85068289,546951.0751480801
1655956800000,2022-06-23 04:00:00,BTCG/USD,20229.64,21267.12,20177.7,21265.04,33.15051576,704947.0436570303
1655899200000,2022-06-22 12:00:00,BTCG/USD,20539.23,20745.11,19780.55,20692.65,36.54740819,756262.7260828036
1655870400000,2022-06-22 04:00:00,BTCG/USD,20300.0,20564.21,19780.55,20229.64,24.32573764,492100.9151916496
1655812800000,2022-06-21 12:00:00,BTCG/USD,21118.4,21630.85,19967.83,20539.23,31.28562216,642582.5892373368
1655784000000,2022-06-21 04:00:00,BTCG/USD,20418.89,20452.76,20300.0,20300.0,0.06590487,1337.8688610000002
1655726400000,2022-06-20 12:00:00,BTCG/USD,20781.36,21409.14,19887.24,21118.4,26.31355037,555700.082133808
1655697600000,2022-06-20 04:00:00,BTCG/USD,20000.06,21033.92,19800.85,20418.89,28.66699263,585348.1691427807
1655640000000,2022-06-19 12:00:00,BTCG/USD,19473.61,21563.21,19134.06,20781.36,64.60012296,1342478.4112760255
1655611200000,2022-06-19 04:00:00,BTCG/USD,18277.25,21563.21,17969.93,20000.06,68.75974178,1375198.9611845068
1655553600000,2022-06-18 12:00:00,BTCG/USD,19376.96,19774.32,17649.97,19473.61,59.20089478,1152855.1365967558
1655524800000,2022-06-18 04:00:00,BTCG/USD,20409.88,20428.35,17649.97,18277.25,62.94057851,1150380.6885718976
1655467200000,2022-06-17 12:00:00,BTCG/USD,21086.23,21086.23,18740.0,19376.96,30.76720598,596174.9195862208
1655438400000,2022-06-17 04:00:00,BTCG/USD,20367.73,21238.49,20331.69,20409.88,18.64019022,380444.0455673736
1655380800000,2022-06-16 12:00:00,BTCG/USD,20921.48,21413.68,20207.76,21086.23,58.23543639,1227965.8058699097
1655352000000,2022-06-16 04:00:00,BTCG/USD,22167.16,22315.46,20207.76,20367.73,59.76189514,1217214.144499832
1655294400000,2022-06-15 12:00:00,BTCG/USD,20973.28,22928.85,20303.94,20921.48,72.28854015,1512383.246977422
1655265600000,2022-06-15 04:00:00,BTCG/USD,21586.38,22928.85,20303.94,22167.16,49.24872527,1091704.3728561332
1655208000000,2022-06-14 12:00:00,BTCG/USD,21906.53,22731.92,20131.28,20973.28,42.9821746,901477.182894688
1655179200000,2022-06-14 04:00:00,BTCG/USD,22087.05,22900.45,21379.78,21586.38,28.72816339,620137.0516386282
1655121600000,2022-06-13 12:00:00,BTCG/USD,23458.38,24289.54,20889.47,21906.53,38.33651602,839820.0382876105
1655092800000,2022-06-13 04:00:00,BTCG/USD,25519.93,26185.65,20889.47,22087.05,43.47387574,960209.6671631669
1655035200000,2022-06-12 12:00:00,BTCG/USD,27595.73,28248.14,23457.13,23458.38,34.89744118,818637.4362280885
1655006400000,2022-06-12 04:00:00,BTCG/USD,27526.67,28248.14,24938.0,25519.93,23.11811334,589972.6341688662
1654948800000,2022-06-11 12:00:00,BTCG/USD,28720.97,28820.06,27177.68,27595.73,6.99364223,192994.6626956779
1654920000000,2022-06-11 04:00:00,BTCG/USD,29248.98,29422.15,27304.15,27526.67,7.06100921,194366.0703906307
1654862400000,2022-06-10 12:00:00,BTCG/USD,29871.11,30050.41,28563.5,28720.97,15.51218112,445524.8885820864
1654833600000,2022-06-10 04:00:00,BTCG/USD,30153.72,30183.49,28839.63,29248.98,15.10215111,441722.5157733678
1654776000000,2022-06-09 12:00:00,BTCG/USD,30294.35,30324.9,29647.53,29871.11,10.39744367,310583.1835853737
1654747200000,2022-06-09 04:00:00,BTCG/USD,30251.47,30649.03,29647.53,30153.72,9.78680037,295108.4380528764
1654689600000,2022-06-08 12:00:00,BTCG/USD,30500.0,30771.11,29937.5,30294.35,4.64215384,140631.03318280398
1654660800000,2022-06-08 04:00:00,BTCG/USD,29937.5,30417.75,29937.5,30251.47,3.57086441,108023.89757318271
1654603200000,2022-06-07 12:00:00,BTCG/USD,29477.27,31438.61,29477.27,30500.0,16.74336724,510672.70082
1654574400000,2022-06-07 04:00:00,BTCG/USD,29596.34,31438.61,29375.0,29937.5,14.00023865,419132.144584375
1654516800000,2022-06-06 12:00:00,BTCG/USD,31346.0,31699.04,29183.55,29477.27,8.82625064,260173.77320295278
1654488000000,2022-06-06 04:00:00,BTCG/USD,31234.07,31699.04,29183.55,29596.34,9.51751567,281683.6297246478
1654430400000,2022-06-05 12:00:00,BTCG/USD,29454.0,31554.27,29454.0,31346.0,2.55095164,79962.13010744
